!IOTYPE  ikx stn_id
 t       181 14447
 t       181 14452
 t       181 15360
 t       181 15387
 t       181 15409
 t       181 15428
 t       181 15480
 t       181 15483
 t       181 15552
 t       181 15655
 t       181 16101
 t       181 16105
 t       181 16146
 t       181 16153
 t       181 16158
 t       181 16168
 t       181 16197
 t       181 16214
 t       181 16232
 t       181 16242
 t       181 16280
 t       181 16294
 t       181 16310
 t       181 16362
 t       181 16400
 t       181 16405
 t       181 16415
 t       181 16416
 t       181 16429
 t       181 16464
 t       181 16490
 t       181 16539
 t       181 16542
 t       181 16550
 t       181 16564
 t       181 16597
 t       181 16624
 t       181 16627
 t       181 16641
 t       181 16643
 t       181 16660
 t       181 16667
 t       181 16684
 t       181 16685
 t       181 16719
 t       181 16723
 t       181 16732
 t       181 16738
 t       181 16739
 t       181 16742
 t       181 16743
 t       181 16749
 t       181 16765
 t       181 16766
 t       181 16768
 t       181 16770
 t       181 16774
 t       181 16779
 t       181 16833
 t       181 17015
 t       181 17022
 t       181 17026
 t       181 17033
 t       181 17034
 t       181 17038
 t       181 17040
 t       181 17042
 t       181 17044
 t       181 17060
 t       181 17064
 t       181 17109
 t       181 17119
 t       181 17170
 t       181 17175
 t       181 17221
 t       181 17232
 t       181 17295
 t       181 17296
 t       181 17297
 t       181 17310
 t       181 17370
 t       181 17505
 t       181 17510
 t       181 17547
 t       181 17550
 t       181 17609
 t       181 20046
 t       181 20069
 t       181 20087
 t       181 20107
 t       181 20292
 t       181 20471
 t       181 20476
 t       181 20667
 t       181 20674
 t       181 20946
 t       181 21432
 t       181 21535
 t       181 21636
 t       181 21711
 t       181 21821
 t       181 21824
 t       181 22003
 t       181 22028
 t       181 22165
 t       181 22193
 t       181 22271
 t       181 22292
 t       181 22312
 t       181 22334
 t       181 22365
 t       181 22429
 t       181 22438
 t       181 22446
 t       181 22520
 t       181 22525
 t       181 22529
 t       181 22541
 t       181 22551
 t       181 22805
 t       181 23022
 t       181 23032
 t       181 23058
 t       181 23112
 t       181 23114
 t       181 23345
 t       181 25042
 t       181 25044
 t       181 25051
 t       181 25062
 t       181 25282
 t       181 25563
 t       181 25916
 t       181 25919
 t       181 25927
 t       181 25956
 t       181 26029
 t       181 26045
 t       181 26046
 t       181 26115
 t       181 26128
 t       181 26145
 t       181 26157
 t       181 26214
 t       181 26218
 t       181 26226
 t       181 26227
 t       181 26229
 t       181 26313
 t       181 26314
 t       181 26406
 t       181 26502
 t       181 26509
 t       181 26603
 t       181 30439
 t       181 30635
 t       181 30637
 t       181 31096
 t       181 31168
 t       181 31770
 t       181 31909
 t       181 31959
 t       181 31960
 t       181 32053
 t       181 32069
 t       181 32076
 t       181 32099
 t       181 32165
 t       181 32213
 t       181 32252
 t       181 32408
 t       181 32411
 t       181 32460
 t       181 32509
 t       181 32580
 t       181 32583
 t       181 32596
 t       181 33837
 t       181 33983
 t       181 33998
 t       181 34555
 t       181 34719
 t       181 34727
 t       181 34824
 t       181 34917
 t       181 35907
 t       181 37001
 t       181 37018
 t       181 37470
 t       181 37472
 t       181 37989
 t       181 38001
 t       181 38111
 t       181 38871
 t       181 40022
 t       181 40025
 t       181 40103
 t       181 40179
 t       181 40400
 t       181 40718
 t       181 40732
 t       181 40734
 t       181 40736
 t       181 40845
 t       181 40858
 t       181 40872
 t       181 40875
 t       181 40882
 t       181 40889
 t       181 40890
 t       181 40893
 t       181 40898
 t       181 41150
 t       181 41160
 t       181 41167
 t       181 41169
 t       181 41198
 t       181 41216
 t       181 41240
 t       181 41241
 t       181 41246
 t       181 41256
 t       181 41258
 t       181 41288
 t       181 41448
 t       181 41756
 t       181 41757
 t       181 41759
 t       181 41951
 t       181 41963
 t       181 41964
 t       181 41978
 t       181 41989
 t       181 41998
 t       181 42730
 t       181 42830
 t       181 42901
 t       181 42903
 t       181 42909
 t       181 43001
 t       181 43003
 t       181 43058
 t       181 43105
 t       181 43207
 t       181 43225
 t       181 43226
 t       181 43229
 t       181 43266
 t       181 43311
 t       181 43314
 t       181 43329
 t       181 43331
 t       181 43346
 t       181 43347
 t       181 43348
 t       181 43349
 t       181 43353
 t       181 43361
 t       181 43363
 t       181 43364
 t       181 43369
 t       181 43410
 t       181 43413
 t       181 43466
 t       181 43467
 t       181 43475
 t       181 43495
 t       181 43497
 t       181 43533
 t       181 43555
 t       181 43577
 t       181 43588
 t       181 43599
 t       181 45007
 t       181 45011
 t       181 45035
 t       181 45044
 t       181 47003
 t       181 47055
 t       181 47061
 t       181 47068
 t       181 47102
 t       181 47112
 t       181 47115
 t       181 47130
 t       181 47138
 t       181 47159
 t       181 47162
 t       181 47165
 t       181 47168
 t       181 47169
 t       181 47185
 t       181 47401
 t       181 47406
 t       181 47409
 t       181 47418
 t       181 47420
 t       181 47421
 t       181 47423
 t       181 47424
 t       181 47426
 t       181 47428
 t       181 47430
 t       181 47435
 t       181 47440
 t       181 47574
 t       181 47581
 t       181 47598
 t       181 47604
 t       181 47648
 t       181 47653
 t       181 47655
 t       181 47663
 t       181 47666
 t       181 47668
 t       181 47675
 t       181 47677
 t       181 47678
 t       181 47740
 t       181 47742
 t       181 47754
 t       181 47755
 t       181 47766
 t       181 47770
 t       181 47776
 t       181 47778
 t       181 47805
 t       181 47812
 t       181 47823
 t       181 47831
 t       181 47836
 t       181 47837
 t       181 47843
 t       181 47890
 t       181 47898
 t       181 47899
 t       181 47909
 t       181 47912
 t       181 47917
 t       181 47918
 t       181 47927
 t       181 47929
 t       181 47936
 t       181 47942
 t       181 47945
 t       181 47946
 t       181 47971
 t       181 47991
 t       181 48071
 t       181 48072
 t       181 48080
 t       181 48085
 t       181 48107
 t       181 48109
 t       181 48110
 t       181 48112
 t       181 48457
 t       181 48459
 t       181 48460
 t       181 48475
 t       181 48477
 t       181 48478
 t       181 48479
 t       181 48501
 t       181 48532
 t       181 48550
 t       181 48552
 t       181 48560
 t       181 48561
 t       181 48564
 t       181 48565
 t       181 48566
 t       181 48568
 t       181 48580
 t       181 48583
 t       181 48601
 t       181 48618
 t       181 48698
 t       181 48838
 t       181 48839
 t       181 48848
 t       181 48855
 t       181 48887
 t       181 48892
 t       181 48907
 t       181 48916
 t       181 48917
 t       181 48918
 t       181 48919
 t       181 48920
 t       181 48985
 t       181 54662
 t       181 54751
 t       181 54776
 t       181 54857
 t       181 58362
 t       181 58472
 t       181 58666
 t       181 58944
 t       181 58974
 t       181 59559
 t       181 59562
 t       181 59567
 t       181 59673
 t       181 59792
 t       181 59838
 t       181 59948
 t       181 59981
 t       181 59985
 t       181 59997
 t       181 60001
 t       181 60004
 t       181 60005
 t       181 60007
 t       181 60008
 t       181 60027
 t       181 60030
 t       181 60032
 t       181 60034
 t       181 60035
 t       181 60040
 t       181 60060
 t       181 60096
 t       181 60101
 t       181 60105
 t       181 60165
 t       181 60185
 t       181 60220
 t       181 60250
 t       181 60338
 t       181 60377
 t       181 60387
 t       181 60452
 t       181 60517
 t       181 60720
 t       181 60728
 t       181 60765
 t       181 60769
 t       181 61641
 t       181 61697
 t       181 61856
 t       181 61901
 t       181 61903
 t       181 61934
 t       181 61966
 t       181 61968
 t       181 61970
 t       181 61972
 t       181 61974
 t       181 61976
 t       181 61980
 t       181 61982
 t       181 61986
 t       181 61996
 t       181 61997
 t       181 61998
 t       181 62007
 t       181 62019
 t       181 62062
 t       181 62305
 t       181 62318
 t       181 62325
 t       181 62332
 t       181 62458
 t       181 63705
 t       181 63733
 t       181 63756
 t       181 63799
 t       181 63980
 t       181 64285
 t       181 64400
 t       181 64501
 t       181 64702
 t       181 64810
 t       181 64820
 t       181 64856
 t       181 65472
 t       181 65475
 t       181 66104
 t       181 66160
 t       181 66311
 t       181 67002
 t       181 67005
 t       181 67012
 t       181 67025
 t       181 67027
 t       181 67072
 t       181 67161
 t       181 67197
 t       181 67215
 t       181 67761
 t       181 68295
 t       181 68495
 t       181 68583
 t       181 68585
 t       181 68587
 t       181 68593
 t       181 68613
 t       181 68674
 t       181 68677
 t       181 68712
 t       181 68811
 t       181 68813
 t       181 68842
 t       181 68906
 t       181 68912
 t       181 68916
 t       181 68918
 t       181 68920
 t       181 68921
 t       181 68931
 t       181 68939
 t       181 68994
 t       181 70133
 t       181 70273
 t       181 70343
 t       181 70350
 t       181 70414
 t       181 71017
 t       181 71018
 t       181 71022
 t       181 71029
 t       181 71030
 t       181 71031
 t       181 71037
 t       181 71042
 t       181 71046
 t       181 71049
 t       181 71055
 t       181 71056
 t       181 71074
 t       181 71075
 t       181 71095
 t       181 71101
 t       181 71107
 t       181 71111
 t       181 71141
 t       181 71145
 t       181 71158
 t       181 71162
 t       181 71171
 t       181 71178
 t       181 71180
 t       181 71200
 t       181 71208
 t       181 71211
 t       181 71219
 t       181 71261
 t       181 71293
 t       181 71303
 t       181 71305
 t       181 71310
 t       181 71320
 t       181 71321
 t       181 71336
 t       181 71337
 t       181 71338
 t       181 71355
 t       181 71356
 t       181 71357
 t       181 71363
 t       181 71366
 t       181 71402
 t       181 71404
 t       181 71406
 t       181 71408
 t       181 71411
 t       181 71412
 t       181 71415
 t       181 71417
 t       181 71418
 t       181 71419
 t       181 71429
 t       181 71431
 t       181 71433
 t       181 71437
 t       181 71438
 t       181 71445
 t       181 71463
 t       181 71464
 t       181 71468
 t       181 71472
 t       181 71473
 t       181 71476
 t       181 71477
 t       181 71478
 t       181 71479
 t       181 71484
 t       181 71485
 t       181 71501
 t       181 71502
 t       181 71513
 t       181 71552
 t       181 71554
 t       181 71575
 t       181 71576
 t       181 71582
 t       181 71595
 t       181 71596
 t       181 71597
 t       181 71598
 t       181 71603
 t       181 71608
 t       181 71613
 t       181 71618
 t       181 71619
 t       181 71629
 t       181 71643
 t       181 71648
 t       181 71649
 t       181 71658
 t       181 71675
 t       181 71691
 t       181 71692
 t       181 71696
 t       181 71702
 t       181 71709
 t       181 71710
 t       181 71715
 t       181 71718
 t       181 71719
 t       181 71728
 t       181 71766
 t       181 71767
 t       181 71769
 t       181 71771
 t       181 71772
 t       181 71778
 t       181 71781
 t       181 71783
 t       181 71784
 t       181 71798
 t       181 71799
 t       181 71800
 t       181 71801
 t       181 71807
 t       181 71808
 t       181 71813
 t       181 71858
 t       181 71859
 t       181 71872
 t       181 71884
 t       181 71890
 t       181 71892
 t       181 71894
 t       181 71900
 t       181 71903
 t       181 71914
 t       181 71917
 t       181 71924
 t       181 71926
 t       181 71927
 t       181 71931
 t       181 71971
 t       181 71983
 t       181 71984
 t       181 71985
 t       181 71987
 t       181 71988
 t       181 71989
 t       181 72201
 t       181 72203
 t       181 72220
 t       181 72290
 t       181 72308
 t       181 72402
 t       181 72636
 t       181 73024
 t       181 73025
 t       181 73028
 t       181 76045
 t       181 76049
 t       181 76055
 t       181 76061
 t       181 76255
 t       181 76256
 t       181 76305
 t       181 76548
 t       181 76551
 t       181 76580
 t       181 76593
 t       181 76648
 t       181 76654
 t       181 76741
 t       181 76750
 t       181 76751
 t       181 76805
 t       181 78000
 t       181 78016
 t       181 78073
 t       181 78114
 t       181 78264
 t       181 78384
 t       181 78388
 t       181 78451
 t       181 78466
 t       181 78479
 t       181 78484
 t       181 78488
 t       181 78526
 t       181 78543
 t       181 78550
 t       181 78650
 t       181 78700
 t       181 78703
 t       181 78767
