!IOTYPE  ikx stn_id
 t       187 CYHA
 t       187 CYHI
 t       187 CYHK
 t       187 CYIO
 t       187 CYIV
 t       187 CYKG
 t       187 CYKO
 t       187 CYLA
 t       187 CYLC
 t       187 CYLK
 t       187 CYLT
 t       187 CYMU
 t       187 CYNA
 t       187 CYPC
 t       187 CYPR
 t       187 CYPY
 t       187 CYQI
 t       187 CYQQ
 t       187 CYRB
 t       187 CYRJ
 t       187 CYSK
 t       187 CYSY
 t       187 CYTE
 t       187 CYTL
 t       187 CYUT
 t       187 CYUX
 t       187 CYVL
 t       187 CYVM
 t       187 CYVR
 t       187 CYWH
 t       187 CYXN
 t       187 CYYJ
 t       187 CYYQ
 t       187 CYYT
 t       187 CYYW
 t       187 CYZP
 t       187 CZEM
 t       187 DGAA
 t       187 DTTJ
 t       187 DTTL
 t       187 EBFN
 t       187 EBOS
 t       187 EDAH
 t       187 EDXW
 t       187 EEKA
 t       187 EEKE
 t       187 EFLP
 t       187 EFMA
 t       187 EGDR
 t       187 EGEC
 t       187 EGEO
 t       187 EGFF
 t       187 EGHE
 t       187 EGHQ
 t       187 EGJA
 t       187 EGJB
 t       187 EGJJ
 t       187 EGKA
 t       187 EGMC
 t       187 EGNH
 t       187 EGNS
 t       187 EGOP
 t       187 EGOV
 t       187 EGOW
 t       187 EGPA
 t       187 EGPB
 t       187 EGPC
 t       187 EGPI
 t       187 EGPL
 t       187 EGPU
 t       187 EGQA
 t       187 EGQK
 t       187 EGQM
 t       187 EHKD
 t       187 EHVL
 t       187 EISG
 t       187 EKCH
 t       187 EKMB
 t       187 EKRN
 t       187 EKSB
 t       187 EKVG
 t       187 ENAL
 t       187 ENAN
 t       187 ENBN
 t       187 ENBO
 t       187 ENBR
 t       187 ENBV
 t       187 ENCN
 t       187 ENDR
 t       187 ENFB
 t       187 ENFL
 t       187 ENGC
 t       187 ENHD
 t       187 ENHE
 t       187 ENHF
 t       187 ENHK
 t       187 ENHV
 t       187 ENKB
 t       187 ENLA
 t       187 ENLK
 t       187 ENML
 t       187 ENNE
 t       187 ENOA
 t       187 ENOL
 t       187 ENQA
 t       187 ENQC
 t       187 ENQR
 t       187 ENRM
 t       187 ENRS
 t       187 ENSB
 t       187 ENSE
 t       187 ENSF
 t       187 ENSH
 t       187 ENSL
 t       187 ENSO
 t       187 ENSS
 t       187 ENST
 t       187 ENTO
 t       187 ENVR
 t       187 ENZV
 t       187 ESDF
 t       187 ESIB
 t       187 ESMT
 t       187 ESNU
 t       187 ESOK
 t       187 EVLA
 t       187 EVVA
 t       187 EYPA
 t       187 FAPE
 t       187 FCPP
 t       187 FGBT
 t       187 FGSL
 t       187 FIMR
 t       187 FJDG
 t       187 FMCH
 t       187 FMCZ
 t       187 FMEE
 t       187 FMMS
 t       187 FMNM
 t       187 FMNN
 t       187 FMSD
 t       187 FNCA
 t       187 FNLU
 t       187 FOOG
 t       187 FPST
 t       187 FQPB
 t       187 FSIA
 t       187 FVKB
 t       187 FZRF
 t       187 GBYD
 t       187 GCFV
 t       187 GCGM
 t       187 GCHI
 t       187 GCLA
 t       187 GCLP
 t       187 GCRR
 t       187 GEML
 t       187 GFLL
 t       187 GMMB
 t       187 GMMH
 t       187 GMTT
 t       187 GOGS
 t       187 GOOY
 t       187 GQPP
 t       187 GVAC
 t       187 GVBA
 t       187 GVNP
 t       187 GVSV
 t       187 HCMM
 t       187 HDAM
 t       187 HEAX
 t       187 HEPS
 t       187 HKLU
 t       187 HKML
 t       187 HKMO
 t       187 HLLM
 t       187 HTMU
 t       187 HTMW
 t       187 HTPE
 t       187 HUEN
 t       187 KAAF
 t       187 KACK
 t       187 KATP
 t       187 KAVX
 t       187 KBCT
 t       187 KBEH
 t       187 KBID
 t       187 KBIX
 t       187 KBOK
 t       187 KBQX
 t       187 KCEC
 t       187 KCOF
 t       187 KCQF
 t       187 KCQX
 t       187 KCVX
 t       187 KCYD
 t       187 KDLP
 t       187 KDRM
 t       187 KDTS
 t       187 KEYW
 t       187 KFFA
 t       187 KFHR
 t       187 KFKS
 t       187 KFPR
 t       187 KGBK
 t       187 KGHB
 t       187 KGHG
 t       187 KGNA
 t       187 KGPT
 t       187 KGRY
 t       187 KGUL
 t       187 KHHV
 t       187 KHRT
 t       187 KHSE
 t       187 KHST
 t       187 KHVN
 t       187 KHYA
 t       187 KIKT
 t       187 KJKA
 t       187 KLDM
 t       187 KMCD
 t       187 KMCF
 t       187 KMKG
 t       187 KMKY
 t       187 KMQI
 t       187 KMRH
 t       187 KMRY
 t       187 KMTC
 t       187 KMTH
 t       187 KMTN
 t       187 KMTP
 t       187 KMVY
 t       187 KNAK
 t       187 KNBT
 t       187 KNGP
 t       187 KNGU
 t       187 KNHK
 t       187 KNOW
 t       187 KNQX
 t       187 KNRA
 t       187 KNSI
 t       187 KNSU
 t       187 KNTD
 t       187 KNUC
 t       187 KNUI
 t       187 KNUW
 t       187 KNXF
 t       187 KNZY
 t       187 KOCQ
 t       187 KONP
 t       187 KORF
 t       187 KORS
 t       187 KOXR
 t       187 KP59
 t       187 KP61
 t       187 KP92
 t       187 KPAM
 t       187 KPBI
 t       187 KPIL
 t       187 KPMP
 t       187 KPVC
 t       187 KPZQ
 t       187 KRAC
 t       187 KRAS
 t       187 KRKP
 t       187 KSAN
 t       187 KSBP
 t       187 KSGJ
 t       187 KSJX
 t       187 KSLI
 t       187 KSPG
 t       187 KSSI
 t       187 KSUT
 t       187 KTDR
 t       187 KTFP
 t       187 KTGI
 t       187 KTPF
 t       187 KTTS
 t       187 KUGN
 t       187 KVAF
 t       187 KVNC
 t       187 KVOA
 t       187 KVWU
 t       187 KW29
 t       187 KWAL
 t       187 KWWD
 t       187 KX21
 t       187 KXMR
 t       187 LCLK
 t       187 LDLO
 t       187 LDRI
 t       187 LEIB
 t       187 LEMG
 t       187 LEMH
 t       187 LESO
 t       187 LFAC
 t       187 LFBH
 t       187 LFKB
 t       187 LFKC
 t       187 LFKS
 t       187 LFMN
 t       187 LFOH
 t       187 LFRH
 t       187 LFVP
 t       187 LGAL
 t       187 LGKC
 t       187 LGKF
 t       187 LGKO
 t       187 LGKP
 t       187 LGKR
 t       187 LGKV
 t       187 LGMK
 t       187 LGMT
 t       187 LGNX
 t       187 LGPA
 t       187 LGPZ
 t       187 LGRP
 t       187 LGRX
 t       187 LGSK
 t       187 LGSM
 t       187 LGSO
 t       187 LGSR
 t       187 LGSY
 t       187 LGZA
 t       187 LICA
 t       187 LICD
 t       187 LICG
 t       187 LICJ
 t       187 LICT
 t       187 LIEB
 t       187 LIEC
 t       187 LIMU
 t       187 LIPZ
 t       187 LIQC
 t       187 LIQO
 t       187 LIRF
 t       187 LIRI
 t       187 LIRP
 t       187 LIRX
 t       187 LIVM
 t       187 LJPZ
 t       187 LMML
 t       187 LPAZ
 t       187 LPFL
 t       187 LPFR
 t       187 LPHR
 t       187 LPLA
 t       187 LPMA
 t       187 LPPD
 t       187 LPPS
 t       187 LTBA
 t       187 LTBS
 t       187 LTCG
 t       187 LTCI
 t       187 LYTV
 t       187 MBGT
 t       187 MBPV
 t       187 MDCY
 t       187 MDLR
 t       187 MDPC
 t       187 MGSJ
 t       187 MHRO
 t       187 MKJS
 t       187 MMAA
 t       187 MMCE
 t       187 MMCM
 t       187 MMCZ
 t       187 MMGM
 t       187 MMLT
 t       187 MMPR
 t       187 MMPS
 t       187 MMTM
 t       187 MMZH
 t       187 MNBL
 t       187 MPBO
 t       187 MPPA
 t       187 MRLM
 t       187 MSAC
 t       187 MTCH
 t       187 MUBA
 t       187 MUCC
 t       187 MUCL
 t       187 MUCU
 t       187 MUGM
 t       187 MWCB
 t       187 MWCR
 t       187 MYGF
 t       187 MYIG
 t       187 MYNN
 t       187 MYSM
 t       187 NCAI
 t       187 NCMH
 t       187 NCMK
 t       187 NCPY
 t       187 NCRG
 t       187 NCRK
 t       187 NFNA
 t       187 NFNM
 t       187 NFNR
 t       187 NFNS
 t       187 NFTF
 t       187 NFTL
 t       187 NFTV
 t       187 NGFU
 t       187 NGTA
 t       187 NGTT
 t       187 NIUE
 t       187 NLWW
 t       187 NSFA
 t       187 NSTU
 t       187 NTAA
 t       187 NTAT
 t       187 NTTB
 t       187 NTTO
 t       187 NVSC
 t       187 NVSG
 t       187 NVSL
 t       187 NVSS
 t       187 NVVA
 t       187 NVVV
 t       187 NVVW
 t       187 NWWW
 t       187 NZAA
 t       187 NZCM
 t       187 NZSP
 t       187 NZWD
 t       187 NZWN
 t       187 OBBI
 t       187 OEWJ
 t       187 OIBA
 t       187 OIBB
 t       187 OIBK
 t       187 OIBQ
 t       187 OIBS
 t       187 OIBV
 t       187 OIKB
 t       187 OINB
 t       187 OINN
 t       187 OINR
 t       187 OIZJ
 t       187 OMAD
 t       187 OMDL
 t       187 OMFJ
 t       187 OMSN
 t       187 OOKB
 t       187 OOMS
 t       187 OSLK
 t       187 OTHH
 t       187 PAAD
 t       187 PABR
 t       187 PACZ
 t       187 PADE
 t       187 PADQ
 t       187 PAEH
 t       187 PAEN
 t       187 PAFE
 t       187 PAGL
 t       187 PAGM
 t       187 PAGN
 t       187 PAHY
 t       187 PAIW
 t       187 PAJC
 t       187 PAKH
 t       187 PAKI
 t       187 PAKK
 t       187 PALH
 t       187 PALU
 t       187 PAMD
 t       187 PANC
 t       187 PANR
 t       187 PAOH
 t       187 PAOO
 t       187 PAOT
 t       187 PAOU
 t       187 PAPB
 t       187 PAPC
 t       187 PAPM
 t       187 PAPO
 t       187 PASD
 t       187 PASH
 t       187 PASN
 t       187 PASO
 t       187 PASY
 t       187 PATC
 t       187 PATG
 t       187 PAUT
 t       187 PAWI
 t       187 PFCL
 t       187 PFEL
 t       187 PFSH
 t       187 PGRO
 t       187 PGSN
 t       187 PGUA
 t       187 PGUM
 t       187 PGWT
 t       187 PHBK
 t       187 PHKO
 t       187 PHLI
 t       187 PHMK
 t       187 PHNY
 t       187 PHTO
 t       187 PKMJ
 t       187 PKMR
 t       187 PKWA
 t       187 PLCH
 t       187 PMDY
 t       187 PPIZ
 t       187 PTKK
 t       187 PTPN
 t       187 PTRO
 t       187 PTSA
 t       187 PTTP
 t       187 PTYA
 t       187 PWAK
 t       187 RCKH
 t       187 RJAW
 t       187 RJBB
 t       187 RJBE
 t       187 RJDB
 t       187 RJDC
 t       187 RJEB
 t       187 RJFC
 t       187 RJFE
 t       187 RJFG
 t       187 RJFO
 t       187 RJFS
 t       187 RJFU
 t       187 RJFY
 t       187 RJGG
 t       187 RJKA
 t       187 RJKB
 t       187 RJKI
 t       187 RJKN
 t       187 RJNK
 t       187 RJOE
 t       187 RJOF
 t       187 RJOH
 t       187 RJOM
 t       187 RJSH
 t       187 RJSM
 t       187 RJSN
 t       187 RJSS
 t       187 RJSU
 t       187 RJTK
 t       187 RJTO
 t       187 RJTT
 t       187 RJTX
 t       187 RKNN
 t       187 RKNO
 t       187 RKNY
 t       187 RKPM
 t       187 RKSI
 t       187 RKSP
 t       187 RKSQ
 t       187 RKTB
 t       187 ROAH
 t       187 RODN
 t       187 ROIG
 t       187 ROKJ
 t       187 ROMD
 t       187 ROMY
 t       187 RORK
 t       187 RORS
 t       187 RORY
 t       187 ROTM
 t       187 ROYN
 t       187 RPLI
 t       187 RPLL
 t       187 RPMR
 t       187 RPMZ
 t       187 RPVD
 t       187 SABE
 t       187 SADF
 t       187 SAWC
 t       187 SBFN
 t       187 SBIL
 t       187 SBLB
 t       187 SBPG
 t       187 SBPS
 t       187 SBSL
 t       187 SCIE
 t       187 SCIP
 t       187 SCRM
 t       187 SCSN
 t       187 SEGS
 t       187 SEMT
 t       187 SESA
 t       187 SEST
 t       187 SFAL
 t       187 SKCO
 t       187 SKPV
 t       187 SKRH
 t       187 SKSM
 t       187 SKSP
 t       187 SPEO
 t       187 SPME
 t       187 SYGT
 t       187 TAPA
 t       187 TDCF
 t       187 TFFJ
 t       187 TFFR
 t       187 TGPY
 t       187 TIST
 t       187 TISX
 t       187 TJBQ
 t       187 TJIG
 t       187 TJNR
 t       187 TJPS
 t       187 TJSJ
 t       187 TKPK
 t       187 TKPN
 t       187 TNCA
 t       187 TNCB
 t       187 TNCC
 t       187 TNCE
 t       187 TNCM
 t       187 TQPF
 t       187 TRPG
 t       187 TTCP
 t       187 TUPJ
 t       187 TXKF
 t       187 UHMA
 t       187 URML
 t       187 VABB
 t       187 VAJJ
 t       187 VAPR
 t       187 VGEG
 t       187 VHHH
 t       187 VMMC
 t       187 VRMM
 t       187 VTBU
 t       187 VTPH
 t       187 VTSF
 t       187 VTSM
 t       187 VTSP
 t       187 VTSR
 t       187 VVCR
 t       187 VVPQ
 t       187 WADD
 t       187 WAKK
 t       187 WALL
 t       187 WAPP
 t       187 WARR
 t       187 WBGR
 t       187 WBKL
 t       187 WBKT
 t       187 WBSB
 t       187 WIDD
 t       187 WMAU
 t       187 WMKL
 t       187 WMKN
 t       187 WMKP
 t       187 WSSS
 t       187 YBHM
 t       187 YBRM
 t       187 YBTL
 t       187 YCFS
 t       187 YGEL
 t       187 YHID
 t       187 YPCC
 t       187 YPGV
 t       187 YPLM
 t       187 YPXM
 t       187 YSNF
 t       187 YSSY
 t       187 ZGSZ
 t       187 ZJSY
 t       187 ZSAM
 t       187 ZSFZ
 q       181 01001
 q       181 01002
 q       181 01003
 q       181 01006
 q       181 01007
 q       181 01008
 q       181 01009
 q       181 01010
 q       181 01011
 q       181 01013
 q       181 01016
 q       181 01017
 q       181 01020
 q       181 01024
 q       181 01028
 q       181 01033
 q       181 01039
 q       181 01044
 q       181 01052
 q       181 01055
 q       181 01062
 q       181 01068
 q       181 01078
 q       181 01083
 q       181 01092
 q       181 01098
 q       181 01099
 q       181 01102
 q       181 01107
 q       181 01108
 q       181 01112
 q       181 01114
 q       181 01115
 q       181 01116
 q       181 01121
 q       181 01139
 q       181 01141
 q       181 01152
 q       181 01156
 q       181 01160
 q       181 01161
 q       181 01203
 q       181 01205
 q       181 01210
 q       181 01212
 q       181 01217
 q       181 01225
 q       181 01228
 q       181 01237
 q       181 01240
 q       181 01241
 q       181 01257
 q       181 01259
 q       181 01282
 q       181 01304
 q       181 01307
 q       181 01310
 q       181 01311
 q       181 01403
 q       181 01406
 q       181 01408
 q       181 01411
 q       181 01412
 q       181 01415
 q       181 01427
 q       181 01448
 q       181 01452
 q       181 01465
 q       181 01476
 q       181 01481
 q       181 01482
 q       181 01483
 q       181 01495
 q       181 02191
 q       181 02284
 q       181 02286
 q       181 02287
 q       181 02297
 q       181 02355
 q       181 02418
 q       181 02488
 q       181 02498
 q       181 02500
 q       181 02501
 q       181 02516
 q       181 02520
 q       181 02544
 q       181 02545
 q       181 02563
 q       181 02567
 q       181 02575
 q       181 02589
 q       181 02615
 q       181 02625
 q       181 02644
 q       181 02664
 q       181 02667
 q       181 02679
 q       181 02721
 q       181 02724
 q       181 02741
 q       181 02746
 q       181 02747
 q       181 02751
 q       181 02752
 q       181 02757
 q       181 02761
 q       181 02772
 q       181 02778
 q       181 02780
 q       181 02781
 q       181 02790
 q       181 02795
 q       181 02800
 q       181 02863
 q       181 02872
 q       181 02873
 q       181 02888
 q       181 02907
 q       181 02910
 q       181 02920
 q       181 02931
 q       181 02950
 q       181 02964
 q       181 02967
 q       181 02970
 q       181 02978
 q       181 02979
 q       181 02980
 q       181 02981
 q       181 02982
 q       181 02984
 q       181 02987
 q       181 02989
 q       181 02991
 q       181 02992
 q       181 02993
 q       181 02997
 q       181 02998
 q       181 03002
 q       181 03005
 q       181 03008
 q       181 03017
 q       181 03023
 q       181 03062
 q       181 03066
 q       181 03075
 q       181 03088
 q       181 03100
 q       181 03105
 q       181 03111
 q       181 03204
 q       181 03210
 q       181 03214
 q       181 03240
 q       181 03275
 q       181 03292
 q       181 03302
 q       181 03316
 q       181 03392
 q       181 03405
 q       181 03488
 q       181 03503
 q       181 03605
 q       181 03693
 q       181 03716
 q       181 03797
 q       181 03800
 q       181 03803
 q       181 03808
 q       181 03809
 q       181 03857
 q       181 03866
 q       181 03872
 q       181 03876
 q       181 03895
 q       181 03952
 q       181 03953
 q       181 03963
 q       181 03976
 q       181 03978
 q       181 03980
 q       181 04034
 q       181 04038
 q       181 04044
 q       181 04082
 q       181 04102
 q       181 04104
 q       181 04110
 q       181 04120
 q       181 04122
 q       181 04124
 q       181 04129
 q       181 04157
 q       181 04188
 q       181 04203
 q       181 04205
 q       181 04208
 q       181 04211
 q       181 04213
 q       181 04214
 q       181 04220
 q       181 04221
 q       181 04224
 q       181 04231
 q       181 04234
 q       181 04241
 q       181 04242
 q       181 04250
 q       181 04253
 q       181 04260
 q       181 04266
 q       181 04270
 q       181 04285
 q       181 04301
 q       181 04312
 q       181 04313
 q       181 04320
 q       181 04330
 q       181 04339
 q       181 04341
 q       181 04351
 q       181 04360
 q       181 04361
 q       181 04373
 q       181 04382
 q       181 04390
 q       181 04401
 q       181 04402
 q       181 04403
 q       181 04404
 q       181 04407
 q       181 04408
 q       181 04409
 q       181 04412
 q       181 04413
 q       181 04419
 q       181 04420
 q       181 04422
 q       181 04423
 q       181 04424
 q       181 04425
 q       181 04430
 q       181 04432
 q       181 04436
 q       181 04437
 q       181 04439
 q       181 04441
 q       181 04442
 q       181 04450
 q       181 04453
 q       181 04454
 q       181 04461
 q       181 04464
 q       181 04485
 q       181 04488
 q       181 04492
 q       181 06005
 q       181 06009
 q       181 06011
 q       181 06012
 q       181 06041
 q       181 06052
 q       181 06058
 q       181 06073
 q       181 06079
 q       181 06081
 q       181 06093
 q       181 06096
 q       181 06119
 q       181 06124
 q       181 06138
 q       181 06149
 q       181 06151
 q       181 06159
 q       181 06168
 q       181 06169
 q       181 06180
 q       181 06183
 q       181 06190
 q       181 06193
 q       181 06197
 q       181 06201
 q       181 06203
 q       181 06204
 q       181 06205
 q       181 06207
 q       181 06208
 q       181 06211
 q       181 06214
 q       181 06234
 q       181 06235
 q       181 06239
 q       181 06242
 q       181 06251
 q       181 06252
 q       181 06320
 q       181 06321
 q       181 06330
 q       181 06400
 q       181 06407
 q       181 06711
 q       181 07010
 q       181 07020
 q       181 07034
 q       181 07040
 q       181 07046
 q       181 07100
 q       181 07117
 q       181 07205
 q       181 07207
 q       181 07300
 q       181 07314
 q       181 07316
 q       181 07503
 q       181 07678
 q       181 07690
 q       181 07749
 q       181 07753
 q       181 07754
 q       181 07765
 q       181 07770
 q       181 07785
 q       181 07790
 q       181 08005
 q       181 08011
 q       181 08023
 q       181 08029
 q       181 08040
 q       181 08309
 q       181 08314
 q       181 08370
 q       181 08373
 q       181 08381
 q       181 08452
 q       181 08453
 q       181 08482
 q       181 08492
 q       181 08501
 q       181 08502
 q       181 08504
 q       181 08505
 q       181 08506
 q       181 08507
 q       181 08509
 q       181 08510
 q       181 08511
 q       181 08512
 q       181 08514
 q       181 08515
 q       181 08520
 q       181 08521
 q       181 08522
 q       181 08524
 q       181 08531
 q       181 08533
 q       181 08541
 q       181 08551
 q       181 08554
 q       181 10004
 q       181 10007
 q       181 10015
 q       181 10020
 q       181 10028
 q       181 10042
 q       181 10044
 q       181 10055
 q       181 10091
 q       181 10093
 q       181 10097
 q       181 10113
 q       181 10124
 q       181 10152
 q       181 10184
 q       181 12001
 q       181 12100
 q       181 12105
 q       181 12115
 q       181 12120
 q       181 12124
 q       181 12135
 q       181 12142
 q       181 12200
 q       181 13457
 q       181 13461
 q       181 13580
 q       181 13611
 q       181 13622
 q       181 14105
 q       181 14314
 q       181 14317
 q       181 14321
 q       181 14323
 q       181 14324
 q       181 14428
 q       181 14438
 q       181 14441
 q       181 14443
 q       181 14447
 q       181 14452
 q       181 15360
 q       181 15387
 q       181 15409
 q       181 15428
 q       181 15480
 q       181 15483
 q       181 15552
 q       181 15655
 q       181 16101
 q       181 16105
 q       181 16146
 q       181 16153
 q       181 16158
 q       181 16168
 q       181 16197
 q       181 16214
 q       181 16232
 q       181 16242
 q       181 16280
 q       181 16294
 q       181 16310
 q       181 16362
 q       181 16400
 q       181 16405
 q       181 16415
 q       181 16416
 q       181 16429
 q       181 16464
 q       181 16490
 q       181 16539
 q       181 16542
 q       181 16550
 q       181 16564
 q       181 16597
 q       181 16624
 q       181 16627
 q       181 16641
 q       181 16643
 q       181 16660
 q       181 16667
 q       181 16684
 q       181 16685
 q       181 16719
 q       181 16723
 q       181 16732
 q       181 16738
 q       181 16739
 q       181 16742
 q       181 16743
 q       181 16749
 q       181 16765
 q       181 16766
 q       181 16768
 q       181 16770
 q       181 16774
 q       181 16779
 q       181 16833
 q       181 17015
 q       181 17022
 q       181 17026
 q       181 17033
 q       181 17034
 q       181 17038
 q       181 17040
 q       181 17042
 q       181 17044
 q       181 17060
 q       181 17064
 q       181 17109
 q       181 17119
 q       181 17170
 q       181 17175
 q       181 17221
 q       181 17232
 q       181 17295
 q       181 17296
 q       181 17297
 q       181 17310
 q       181 17370
 q       181 17505
 q       181 17510
 q       181 17547
 q       181 17550
 q       181 17609
 q       181 20046
 q       181 20069
 q       181 20087
 q       181 20107
 q       181 20292
 q       181 20471
 q       181 20476
 q       181 20667
 q       181 20674
 q       181 20946
 q       181 21432
 q       181 21535
 q       181 21636
 q       181 21711
 q       181 21821
 q       181 21824
 q       181 22003
 q       181 22028
 q       181 22165
 q       181 22193
 q       181 22271
 q       181 22292
 q       181 22312
 q       181 22334
 q       181 22365
 q       181 22429
 q       181 22438
 q       181 22446
 q       181 22520
 q       181 22525
 q       181 22529
 q       181 22541
 q       181 22551
 q       181 22805
 q       181 23022
 q       181 23032
 q       181 23058
 q       181 23112
 q       181 23114
 q       181 23345
 q       181 25042
 q       181 25044
 q       181 25051
 q       181 25062
 q       181 25282
 q       181 25563
 q       181 25916
 q       181 25919
 q       181 25927
 q       181 25956
 q       181 26029
 q       181 26045
 q       181 26046
 q       181 26115
 q       181 26128
 q       181 26145
 q       181 26157
 q       181 26214
 q       181 26218
 q       181 26226
 q       181 26227
 q       181 26229
 q       181 26313
 q       181 26314
 q       181 26406
 q       181 26502
 q       181 26509
 q       181 26603
 q       181 30439
 q       181 30635
 q       181 30637
 q       181 31096
 q       181 31168
 q       181 31770
 q       181 31909
 q       181 31959
 q       181 31960
 q       181 32053
 q       181 32069
 q       181 32076
 q       181 32099
 q       181 32165
 q       181 32213
 q       181 32252
 q       181 32408
 q       181 32411
 q       181 32460
 q       181 32509
 q       181 32580
 q       181 32583
 q       181 32596
 q       181 33837
 q       181 33983
 q       181 33998
 q       181 34555
 q       181 34719
 q       181 34727
 q       181 34824
 q       181 34917
 q       181 35907
 q       181 37001
 q       181 37018
 q       181 37470
 q       181 37472
 q       181 37989
 q       181 38001
 q       181 38111
 q       181 38871
 q       181 40022
 q       181 40025
 q       181 40103
 q       181 40179
 q       181 40400
 q       181 40718
 q       181 40732
 q       181 40734
 q       181 40736
 q       181 40845
 q       181 40858
 q       181 40872
 q       181 40875
 q       181 40882
 q       181 40889
 q       181 40890
 q       181 40893
 q       181 40898
 q       181 41150
 q       181 41160
 q       181 41167
 q       181 41169
 q       181 41198
 q       181 41216
 q       181 41240
 q       181 41241
 q       181 41246
 q       181 41256
 q       181 41258
 q       181 41288
 q       181 41448
 q       181 41756
 q       181 41757
 q       181 41759
 q       181 41951
 q       181 41963
 q       181 41964
 q       181 41978
 q       181 41989
 q       181 41998
 q       181 42730
 q       181 42830
 q       181 42901
 q       181 42903
 q       181 42909
 q       181 43001
 q       181 43003
 q       181 43058
 q       181 43105
 q       181 43207
 q       181 43225
 q       181 43226
 q       181 43229
 q       181 43266
 q       181 43311
 q       181 43314
 q       181 43329
 q       181 43331
 q       181 43346
 q       181 43347
 q       181 43348
 q       181 43349
 q       181 43353
 q       181 43361
 q       181 43363
 q       181 43364
 q       181 43369
 q       181 43410
 q       181 43413
 q       181 43466
 q       181 43467
 q       181 43475
 q       181 43495
 q       181 43497
 q       181 43533
 q       181 43555
 q       181 43577
 q       181 43588
 q       181 43599
 q       181 45007
 q       181 45011
 q       181 45035
 q       181 45044
 q       181 47003
 q       181 47055
 q       181 47061
 q       181 47068
 q       181 47102
 q       181 47112
 q       181 47115
 q       181 47130
 q       181 47138
 q       181 47159
 q       181 47162
 q       181 47165
 q       181 47168
 q       181 47169
 q       181 47185
 q       181 47401
 q       181 47406
 q       181 47409
 q       181 47418
 q       181 47420
 q       181 47421
 q       181 47423
 q       181 47424
 q       181 47426
 q       181 47428
 q       181 47430
 q       181 47435
 q       181 47440
 q       181 47574
 q       181 47581
 q       181 47598
 q       181 47604
 q       181 47648
 q       181 47653
 q       181 47655
 q       181 47663
 q       181 47666
 q       181 47668
 q       181 47675
 q       181 47677
 q       181 47678
 q       181 47740
 q       181 47742
 q       181 47754
 q       181 47755
 q       181 47766
 q       181 47770
 q       181 47776
 q       181 47778
 q       181 47805
 q       181 47812
 q       181 47823
 q       181 47831
 q       181 47836
 q       181 47837
 q       181 47843
 q       181 47890
 q       181 47898
 q       181 47899
 q       181 47909
 q       181 47912
 q       181 47917
 q       181 47918
 q       181 47927
 q       181 47929
 q       181 47936
 q       181 47942
 q       181 47945
 q       181 47946
 q       181 47971
 q       181 47991
 q       181 48071
 q       181 48072
 q       181 48080
 q       181 48085
 q       181 48107
 q       181 48109
 q       181 48110
 q       181 48112
 q       181 48457
 q       181 48459
 q       181 48460
 q       181 48475
 q       181 48477
 q       181 48478
 q       181 48479
 q       181 48501
 q       181 48532
 q       181 48550
 q       181 48552
 q       181 48560
 q       181 48561
 q       181 48564
 q       181 48565
 q       181 48566
 q       181 48568
 q       181 48580
 q       181 48583
 q       181 48601
 q       181 48618
 q       181 48698
 q       181 48838
 q       181 48839
 q       181 48848
 q       181 48855
 q       181 48887
 q       181 48892
 q       181 48907
 q       181 48916
 q       181 48917
 q       181 48918
 q       181 48919
 q       181 48920
 q       181 48985
 q       181 54662
 q       181 54751
 q       181 54776
 q       181 54857
 q       181 58362
 q       181 58472
 q       181 58666
 q       181 58944
 q       181 58974
 q       181 59559
 q       181 59562
 q       181 59567
 q       181 59673
 q       181 59792
 q       181 59838
 q       181 59948
 q       181 59981
 q       181 59985
 q       181 59997
 q       181 60001
 q       181 60004
 q       181 60005
 q       181 60007
 q       181 60008
 q       181 60027
 q       181 60030
 q       181 60032
 q       181 60034
 q       181 60035
 q       181 60040
 q       181 60060
 q       181 60096
 q       181 60101
 q       181 60105
 q       181 60165
 q       181 60185
 q       181 60220
 q       181 60250
 q       181 60338
 q       181 60377
 q       181 60387
 q       181 60452
 q       181 60517
 q       181 60720
 q       181 60728
 q       181 60765
 q       181 60769
 q       181 61641
 q       181 61697
 q       181 61856
 q       181 61901
 q       181 61903
 q       181 61934
 q       181 61966
 q       181 61968
 q       181 61970
 q       181 61972
 q       181 61974
 q       181 61976
 q       181 61980
 q       181 61982
 q       181 61986
 q       181 61996
 q       181 61997
 q       181 61998
 q       181 62007
 q       181 62019
 q       181 62062
 q       181 62305
 q       181 62318
 q       181 62325
 q       181 62332
 q       181 62458
 q       181 63705
 q       181 63733
 q       181 63756
 q       181 63799
 q       181 63980
 q       181 64285
 q       181 64400
 q       181 64501
 q       181 64702
 q       181 64810
 q       181 64820
 q       181 64856
 q       181 65472
 q       181 65475
 q       181 66104
 q       181 66160
 q       181 66311
 q       181 67002
 q       181 67005
 q       181 67012
 q       181 67025
 q       181 67027
 q       181 67072
 q       181 67161
 q       181 67197
 q       181 67215
 q       181 67761
 q       181 68295
 q       181 68495
 q       181 68583
 q       181 68585
 q       181 68587
 q       181 68593
 q       181 68613
 q       181 68674
 q       181 68677
 q       181 68712
 q       181 68811
 q       181 68813
 q       181 68842
 q       181 68906
 q       181 68912
 q       181 68916
 q       181 68918
 q       181 68920
 q       181 68921
 q       181 68931
 q       181 68939
 q       181 68994
 q       181 70133
 q       181 70273
 q       181 70343
